Date,Day of the week,Amount,Description,Category ,Method of Payment,Need/Want/Saving
01/26/24,Friday,6.95,ice cream,Food,Credit,Want
01/26/24,Friday,42.47,panda w friends,Food,Credit,Want
01/26/24,Friday,70,money out,Bills,Debit,Need
01/27/24,Saturday,8.19,snacks w/ bro,Food,Credit,Want
01/29/24,Monday,35.97,Gas,Travel,Credit,Need
01/29/24,Monday,23.52,wingstop,Food,Credit,Want
01/29/24,Monday,26.35,candles,Housing,Credit,Want
01/30/24,Tuesday,1.59,noodles,Food,Credit,Want
01/30/24,Tuesday,11.39,cookies,Food,Credit,Want
01/30/24,Tuesday,11.73,panda (lunch),Food,Credit,Need
01/31/24,Wednesday,,,,,
02/01/24,Thursday,3.60,snacks w/ bro,Food,Credit,Want
02/01/24,Thursday,15.42,lunch,Food,Credit,Need
02/02/24,Friday,11.00,drinks,Food,Credit,Want
02/03/24,Saturday,17.00,drinks,Food,Credit,Want
02/03/24,Saturday,33.96,cake,Food,Credit,Want
02/04/24,Sunday,,,,,
